Model,Version,Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,MCC
random_forest,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
extra_trees,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ann,full,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logistic_regression,full,0.9917,1.0,0.9867,1.0,0.9933,1.0,0.9825
lightgbm,full,0.9917,1.0,0.9867,1.0,0.9933,1.0,0.9825
logistic_regression,selected,0.9917,1.0,0.9867,1.0,0.9933,0.9999,0.9825
random_forest,selected,0.9917,1.0,0.9867,1.0,0.9933,0.9999,0.9825
extra_trees,selected,0.9917,1.0,0.9867,1.0,0.9933,0.9919,0.9825
ann,selected,0.9917,1.0,0.9867,1.0,0.9933,0.9999,0.9825
svm,selected,0.9917,1.0,0.9867,1.0,0.9933,0.9999,0.9825
svm,full,0.9833,1.0,0.9733,1.0,0.9865,1.0,0.9654
lightgbm,selected,0.9833,1.0,0.9733,1.0,0.9865,0.9996,0.9654
xgboost,selected,0.9833,0.974,1.0,0.9556,0.9868,0.9994,0.9647
decision_tree,full,0.9667,0.9733,0.9733,0.9556,0.9733,0.9852,0.9289
decision_tree,selected,0.9667,0.9733,0.9733,0.9556,0.9733,0.984,0.9289
xgboost,full,0.9583,0.973,0.96,0.9556,0.9664,0.9982,0.9116
